,title,age,Advance_rate,rating,genre
0,['겨울왕국 2'],['전체 관람가'],['47.26'],['8.68'],"[['애니메이션', '모험', '코미디', '가족', '판타지', '뮤지컬']]"
1,['쥬만지: 넥스트 레벨'],['12세 관람가'],['21.74'],['6.18'],"[['액션', '모험']]"
2,['포드 V 페라리'],['12세 관람가'],['14.43'],['9.56'],"[['액션', '드라마']]"
3,['나이브스 아웃'],['12세 관람가'],['5.68'],['9.13'],"[['미스터리', '스릴러']]"
4,['감쪽같은 그녀'],['전체 관람가'],['2.61'],['7.54'],[['드라마']]
5,['아내를 죽였다'],['15세 관람가'],['1.89'],['5.68'],"[['스릴러', '액션']]"
6,['라스트 크리스마스'],['12세 관람가'],['1.36'],['6.74'],"[['멜로/로맨스', '코미디']]"
7,['카운트다운'],['15세 관람가'],['0.98'],['6.77'],"[['공포', '스릴러']]"
8,['블랙머니'],['12세 관람가'],['0.77'],['8.52'],"[['범죄', '드라마']]"
9,['윤희에게'],['12세 관람가'],['0.4'],['9.18'],[['멜로/로맨스']]
10,['두 교황'],['12세 관람가'],['0.23'],['8.98'],[['드라마']]
11,['나를 찾아줘'],['15세 관람가'],['0.2'],['7.08'],[['스릴러']]
12,['파비안느에 관한 진실'],['12세 관람가'],['0.2'],['8.35'],[['드라마']]
13,['아스테릭스: 마법 물약의 비밀'],['전체 관람가'],['0.19'],['8.20'],"[['애니메이션', '코미디', '가족', '판타지']]"
14,['결혼 이야기'],['15세 관람가'],['0.13'],['9.08'],"[['코미디', '드라마']]"
15,['아이리시맨'],['청소년 관람불가'],['0.11'],['8.91'],"[['범죄', '드라마', '스릴러']]"
16,['대통령의 7시간'],['12세 관람가'],['0.08'],['6.27'],[['다큐멘터리']]
17,['러브 앳'],['12세 관람가'],[''],['9.27'],"[['멜로/로맨스', '코미디']]"
18,['82년생 김지영'],['12세 관람가'],['0.07'],['6.69'],[['드라마']]
19,['프란치스코 교황: 맨 오브 히스 워드'],['전체 관람가'],['0.06'],['8.55'],[['다큐멘터리']]
20,['블랙 스완'],['청소년 관람불가'],['0.06'],['8.69'],"[['드라마', '스릴러']]"
21,['매리'],['15세 관람가'],['0.06'],['7.09'],"[['공포', '스릴러']]"
22,['드래곤 빌리지'],['전체 관람가'],['0.05'],['7.00'],"[['애니메이션', '판타지', '코미디']]"
23,['날씨의 아이'],['15세 관람가'],['0.05'],['7.88'],[['애니메이션']]
24,['디에고'],['12세 관람가'],['0.05'],['8.67'],[['다큐멘터리']]
25,['속물들'],['15세 관람가'],['0.05'],['8.63'],[['드라마']]
26,['이태원'],['15세 관람가'],['0.05'],['9.84'],[['다큐멘터리']]
27,['벌새'],['15세 관람가'],['0.04'],['8.89'],[['드라마']]
28,['월성'],['전체 관람가'],['0.04'],['7.03'],[['다큐멘터리']]
29,['터미네이터: 다크 페이트'],['15세 관람가'],['0.03'],['8.63'],"[['SF', '액션']]"
30,['굿 라이어'],['15세 관람가'],['0.03'],['8.32'],[['스릴러']]
31,['조커'],['15세 관람가'],['0.03'],['8.65'],"[['스릴러', '드라마']]"
32,['극장판 타오르지마 버스터 - 블랙어썰트의 귀환'],['전체 관람가'],['0.03'],['9.70'],"[['애니메이션', '코미디', '액션', '모험']]"
33,['어메이징 그레이스'],['전체 관람가'],['0.03'],['8.53'],[['다큐멘터리']]
34,['헤로니모'],['전체 관람가'],['0.03'],['9.62'],[['다큐멘터리']]
35,['집 이야기'],['12세 관람가'],['0.02'],['9.31'],[['드라마']]
36,['영화로운 나날'],['12세 관람가'],['0.02'],['9.33'],"[['멜로/로맨스', '판타지', '드라마']]"
37,['산타 앤 컴퍼니'],['전체 관람가'],['0.02'],['9.14'],"[['코미디', '가족']]"
38,['크롤'],['15세 관람가'],['0.02'],['6.96'],"[['액션', '스릴러']]"
39,['삽질'],['12세 관람가'],['0.01'],['6.41'],[['다큐멘터리']]
40,['우리를 갈라놓는 것들'],['12세 관람가'],['0.01'],['8.91'],[['다큐멘터리']]
41,['샐린저'],['15세 관람가'],['0.01'],['10.00'],[['다큐멘터리']]
42,['디아스포라의 노래 : 아리랑로드'],['전체 관람가'],['0.01'],['10.00'],[['다큐멘터리']]
43,['카센타'],['15세 관람가'],['0.01'],['7.20'],"[['범죄', '코미디']]"
44,['경계선'],['청소년 관람불가'],['0.01'],['8.32'],"[['판타지', '멜로/로맨스', '스릴러']]"
45,['모리스'],['15세 관람가'],['0.01'],['8.83'],"[['드라마', '멜로/로맨스']]"
46,['보리밭을 흔드는 바람'],['15세 관람가'],['0.01'],['8.46'],"[['전쟁', '드라마']]"
47,"['나, 다니엘 블레이크']",['12세 관람가'],['0.01'],['9.28'],[['드라마']]
48,['10년'],['전체 관람가'],['0.01'],['7.40'],[['드라마']]
49,['코끼리는 그곳에 있어'],['12세 관람가'],['0.01'],['9.09'],[['드라마']]
50,['교회오빠'],['전체 관람가'],['0.01'],['9.27'],[['다큐멘터리']]
51,['메기'],['15세 관람가'],['0.01'],['8.30'],"[['드라마', '미스터리', '코미디']]"
52,['삼촌'],['청소년 관람불가'],['0.01'],['9.03'],"[['미스터리', '스릴러']]"
53,['어제 일은 모두 괜찮아'],['15세 관람가'],[''],['9.22'],[['드라마']]
54,['신의 한 수: 귀수편'],['15세 관람가'],['0.01'],['7.87'],"[['범죄', '액션']]"
55,['타이페이 스토리'],['15세 관람가'],['0.01'],['8.17'],[['드라마']]
56,['위!'],['청소년 관람불가'],['0.01'],['7.59'],[['드라마']]
57,['라스트 씬'],['전체 관람가'],['0.01'],['7.75'],[['다큐멘터리']]
58,['라 파미에'],['12세 관람가'],['0.01'],['0.00'],"[['드라마', '코미디']]"
59,['앵커'],['15세 관람가'],['0.01'],['9.25'],[['드라마']]
60,['더하우스'],['15세 관람가'],['0.01'],['8.17'],"[['공포', '미스터리', '스릴러']]"
61,['더 킹: 헨리 5세'],['청소년 관람불가'],['0.01'],['8.54'],[['드라마']]
62,['기생충'],['15세 관람가'],['0.01'],['8.48'],[['드라마']]
63,['위대한 개츠비'],['15세 관람가'],[''],['8.38'],"[['드라마', '멜로/로맨스']]"
64,['접속'],['15세 관람가'],[''],['8.71'],"[['멜로/로맨스', '드라마']]"
65,['북간도의 십자가'],['전체 관람가'],['0.01'],['7.70'],[['다큐멘터리']]
66,['녹차의 중력'],['전체 관람가'],['0.01'],['0.00'],[['다큐멘터리']]
67,['수퍼 디스코'],['12세 관람가'],['0.01'],['9.47'],[['다큐멘터리']]
68,['행동하는 양심 김대중'],['12세 관람가'],['0.01'],['3.12'],[['다큐멘터리']]
69,['더 컨덕터'],['12세 관람가'],['0.01'],['8.86'],[['드라마']]
70,['콜드 워'],['15세 관람가'],['0.01'],['8.35'],"[['드라마', '멜로/로맨스']]"
71,['무뢰한'],['청소년 관람불가'],[''],['7.83'],"[['멜로/로맨스', '드라마']]"
72,['우키시마호'],['전체 관람가'],['0.01'],['7.89'],[['다큐멘터리']]
73,['해피 엔드'],['청소년 관람불가'],[''],['8.27'],[['스릴러']]
74,['오피셜 시크릿'],['15세 관람가'],['0.01'],['9.38'],"[['드라마', '스릴러']]"
75,['그날은 오리라'],['15세 관람가'],['0.01'],['0.00'],[['드라마']]
76,['주전장'],['전체 관람가'],['0.01'],['9.49'],[['다큐멘터리']]
77,['시빌'],['청소년 관람불가'],[''],['7.70'],[['드라마']]
78,['영하의 바람'],['12세 관람가'],['0.01'],['8.70'],[['드라마']]
79,['졸업'],['12세 관람가'],['0.01'],['9.18'],[['다큐멘터리']]
80,['본 투 드라이브'],['전체 관람가'],['0.01'],['0.00'],[['다큐멘터리']]
81,['어멍'],['15세 관람가'],['0.01'],['10.00'],[[]]
82,['레토'],['15세 관람가'],['0.01'],['8.40'],[['드라마']]
83,['류이치 사카모토: 코다'],['전체 관람가'],['0.01'],['8.91'],[['다큐멘터리']]
84,['부에나 비스타 소셜 클럽'],['전체 관람가'],['0.01'],['8.77'],[['다큐멘터리']]
85,['서칭 포 슈가맨'],['전체 관람가'],['0.01'],['9.00'],[['다큐멘터리']]
86,['얼굴없는 보스'],['15세 관람가'],['0.01'],['3.37'],"[['느와르', '드라마']]"
87,['허슬러'],['청소년 관람불가'],['0.01'],['6.92'],"[['범죄', '드라마']]"
88,['기적'],['15세 관람가'],['0.01'],['8.47'],[['드라마']]
89,['네루다'],['청소년 관람불가'],['0.01'],['7.50'],[['드라마']]
90,['메리 포핀스'],['전체 관람가'],['0.01'],['9.24'],"[['가족', '코미디', '뮤지컬', '판타지']]"
91,['미드나잇 인 파리'],['15세 관람가'],['0.01'],['8.55'],"[['코미디', '멜로/로맨스', '판타지']]"
92,['버블 패밀리'],['전체 관람가'],['0.01'],['9.56'],"[['다큐멘터리', '가족']]"
93,['부러진 창'],['No Description'],['0.01'],['7.00'],"[['모험', '서부']]"
94,['비틀즈: 하드 데이즈 나이트'],['전체 관람가'],['0.01'],['8.67'],"[['코미디', '뮤지컬']]"
95,['사랑을 합시다'],['12세 관람가'],['0.01'],['7.00'],"[['코미디', '뮤지컬', '멜로/로맨스']]"
96,['산타모니카 인 러브'],['12세 관람가'],['0.01'],['8.59'],"[['코미디', '드라마', '멜로/로맨스']]"
97,['슈퍼소닉'],['15세 관람가'],['0.01'],['9.24'],[['다큐멘터리']]
98,['심판'],['15세 관람가'],['0.01'],['8.97'],"[['드라마', '범죄']]"
99,['아비정전'],['15세 관람가'],['0.01'],['8.48'],"[['드라마', '범죄', '멜로/로맨스']]"
100,['아이 캔 스피크'],['12세 관람가'],['0.01'],['9.37'],[['드라마']]
101,['어떤 하루'],['15세 관람가'],['0.01'],['7.77'],[['드라마']]
102,['재혼의 기술'],['12세 관람가'],['0.01'],['7.29'],"[['멜로/로맨스', '코미디']]"
103,['지구 최후의 밤'],['12세 관람가'],['0.01'],['7.56'],"[['드라마', '미스터리']]"
104,['차타레 부인의 사랑'],['청소년 관람불가'],['0.01'],['6.76'],"[['드라마', '멜로/로맨스']]"
105,['천지창조'],['12세 관람가'],['0.01'],['7.64'],[[]]
106,['캐롤'],['청소년 관람불가'],['0.01'],['8.57'],"[['드라마', '멜로/로맨스']]"
107,['패트와 매트: 우당탕탕 크리스마스'],['전체 관람가'],['0.01'],['2.34'],"[['애니메이션', '가족']]"
108,['포레스트 검프'],['12세 관람가'],['0.01'],['9.39'],"[['드라마', '코미디']]"
109,['더 포스트'],['12세 관람가'],[''],['8.73'],"[['드라마', '스릴러']]"
110,['멋진 하루'],['12세 관람가'],[''],['8.17'],"[['드라마', '멜로/로맨스']]"
111,['미스 사이공: 25주년 특별 공연'],['15세 관람가'],[''],['9.20'],[['공연실황']]
112,['밀양'],['15세 관람가'],[''],['7.87'],[['드라마']]
